ENCODED_MCT,MCT_BSE_AR,g_place_id,g_rating,g_user_ratings_total,status
01AAD3CFFA,서울 성동구 행당동,ChIJO8fPsl6jfDURd8inst8XzjE,,,OK
01AB37892D,서울특별시 성동구 고산자로24길 11-1,ChIJpealoFWjfDUR2ACgzkn79ow,4.1,1920.0,OK
01B82F195A,서울 성동구 독서당로 296-1.,ChIJW2nCcQClfDURNhhlXF7dsRo,5.0,2805.0,OK
01CCBE28E0,서울특별시 성동구 행당로 133,ChIJa69rOVyjfDURL2eOgdUPh9E,5.0,1.0,OK
01D70FA491,서울특별시 성동구 성수이로7가길 6,ChIJN_ynQealfDUR60mdIjde01s,3.9,104.0,OK
01DB89157C,서울특별시 성동구 마조로 30,ChIJH1n5LwClfDURo2PCusbvTvY,,,OK
01EBAA3D0F,서울특별시 성동구 왕십리로8길 15,ChIJWc0HxvSlfDURqidOY-EUI9w,4.7,14.0,OK
01EDD97C21,서울특별시 성동구 자동차시장1길 39,ChIJhVwG68ykfDURvuQ1tvp9t5g,3.7,31.0,OK
01F74A3D59,서울 성동구 성덕정17길 8-1,ChIJl7lZGY6kfDURls7ivGF2zLM,4.6,239.0,OK
01FD0FCC3D,서울특별시 성동구 상원길 49,ChIJjbv2gm6lfDURTMzpsYEy9JQ,5.0,1.0,OK
01FDC9FAEA,서울특별시 성동구 성덕정17길 4,ChIJQ_bqINSlfDURlMVvyQn2DQQ,3.9,590.0,OK
02080D3457,서울특별시 성동구 금호산2길 21-1,ChIJ7RvkaF-jfDURb_v2D7Zoryw,4.1,24.0,OK
0220D6AA93,서울특별시 성동구 고산자로 253,ChIJ7WLekFmjfDUR39YzwSgp0fU,4.1,157.0,OK
022FF198C7,서울 성동구 용답19길 16-1,ChIJz-nWS9OjfDURnKZUkJB1zgc,4.3,241.0,OK
023652A43E,서울특별시 성동구 성덕정17길 9,ChIJl7lZGY6kfDURZut63Qb6TNE,,,OK
02377784A1,서울특별시 성동구 마장로31길 40,ChIJW807c1WjfDURPCQ3kZpQMsw,4.3,239.0,OK
0239C4D2D3,서울특별시 성동구 아차산로7나길 18,ChIJixlNopakfDURm3fDqzrufg4,4.3,28.0,OK
0255C174CC,서울 성동구 왕십리로24나길 10.,ChIJ8QnR_lmjfDUR5gGt3JjgYeI,5.0,1.0,OK
025B95F178,서울특별시 성동구 왕십리로4길 16,ChIJO5XnmJ6kfDURZdcoDSMBdWU,3.7,176.0,OK
02621706D5,서울특별시 성동구 왕십리로 410,ChIJr8gaXVmjfDUR-9QGAiV__LY,4.0,1.0,OK
026EBC2ED1,서울특별시 성동구 독서당로60길 2,ChIJX3dMfAClfDUR683GF0BHu3g,4.8,98.0,OK
02826B57BE,서울특별시 성동구 마장로37길 51-1,ChIJpealoFWjfDUR2ACgzkn79ow,4.1,1920.0,OK
0286E31425,서울 성동구 금호로 84.,ChIJj43PWm6jfDUR4wIjdTmcUxc,3.0,9.0,OK
02886FCA36,서울특별시 성동구 왕십리로4길 24-7,ChIJEzPDEralfDURr_iy-oAp18U,4.6,10.0,OK
029F2B4A59,서울특별시 성동구 송정6길 5,ChIJV2nRWEilfDURnLer-R0xgtE,4.8,13.0,OK
02A32AE992,서울특별시 성동구 왕십리로 410,ChIJR4WpBwOjfDURQYFI18JL04k,4.2,9.0,OK
02A5043FF7,서울 성동구 행당로17길 13,ChIJk5M1bVyjfDURwArN15PBUeo,,,OK
02B146CDF2,서울특별시 성동구 무학봉길 83,ChIJ_7lFu7alfDURFF4DxRgPf-c,4.7,66.0,OK
02B9A2CC01,서울특별시 성동구 마장로31길 40,ChIJo42loFWjfDURt6DI-bW3sP8,,,OK
02EECADFE6,서울특별시 성동구 왕십리로4가길 3,ChIJG69kLwClfDURKhqaaHqPNdI,5.0,21.0,OK
02FE4FD151,서울특별시 성동구 왕십리로4길 28-2,ChIJowIO7NalfDURMFqosYVPVhk,4.5,191.0,OK
0305234DDB,서울특별시 성동구 둘레9나길 7,ChIJZRACBZykfDUR2jLss4czGBI,3.8,93.0,OK
0328418F66,서울특별시 성동구 연무장5가길 24,ChIJEb2F4lSlfDURvyHQHvG41Dg,3.9,83.0,OK
0335548947,서울특별시 성동구 왕십리로14길 18,ChIJuUYFkcylfDURlEPhIGLynxI,4.9,23.0,OK
03360C97C5,서울  성동구  용답중앙11길  20,ChIJH8owxIOlfDURRRPhvWWYh0o,4.9,100.0,OK
033F56E9A8,서울특별시 성동구 왕십리로20길 11,ChIJ80SGPiSjfDURQxINqSsqE-8,4.6,39.0,OK
035ADB2AA8,서울특별시 성동구 광나루로11길 52-1,ChIJKVz5PK6lfDUR1GG_hzdDsYE,4.6,42.0,OK
036B3FD49B,서울특별시 성동구 뚝섬로 385-32,ChIJpzYD7ZakfDURsYOyXmGZseg,3.4,16.0,OK
037D7CDBAE,서울특별시 성동구 한림말3길 29,ChIJy6m5lfajfDURX6vS4lMPCBM,4.3,4.0,OK
03803D77FE,서울 성동구 왕십리로 213.,ChIJZz5vK6GkfDURCDFi97tF3rs,,,OK
039869F9F9,서울 성동구 연무장3길 9-14.,ChIJEcvT4helfDURSg45W2oNJhg,4.3,23.0,OK
03A222EE9D,서울 성동구 마조로 17,ChIJxYa0cKekfDURzjn_OOeAEMA,4.2,378.0,OK
03A4C45CEB,서울특별시 성동구 고산자로10길 8,ChIJbe1yaq-jfDURgwYpRtRzGnU,4.1,102.0,OK
03A581D873,서울특별시 성동구 사근동12길 7-1,ChIJr6AMqqakfDURXANuMHX7RNs,4.6,1044.0,OK
03BE2D577F,서울특별시 성동구 연무장5가길 7,ChIJi_M445OkfDURBV_ePY2qCHo,4.1,2662.0,OK
03C7EBD774,서울특별시 성동구 동호로 21,ChIJc1Sq4GyjfDURBBbNCoRyEcY,,,OK
03DCE2BB5C,서울특별시 성동구 성수이로 33-3,ChIJYwxAUKClfDURK3r5fsi5zQo,4.5,859.0,OK
0400611A92,서울 성동구 마장로 199,ChIJO5VOX1CjfDUR2C1fdLTQpLs,,,OK
041B7CBFB0,서울특별시 성동구 왕십리로 410,ChIJq6Y344mjfDURlH-TlQtlpeY,,,OK
04393D7C92,서울특별시 성동구 왕십리로 357,ChIJaWenQVijfDURn0RpYmEzwks,4.2,419.0,OK
0487117D58,서울특별시 성동구 사근동10길 14,ChIJe9GV1Z2kfDURzRu5qg9T_Go,4.1,393.0,OK
0495B069FF,서울특별시 성동구 마장로39길 34,ChIJrXemp6ukfDURapIxkwUC6t8,,,OK
04A4FBD34D,서울특별시 성동구 성수일로 95,ChIJK4N9erKlfDURXBVL2MUpabk,4.9,2374.0,OK
04BACBFB49,서울 성동구 금호로 56,ChIJj43PWm6jfDUR4wIjdTmcUxc,3.0,9.0,OK
04F03995B9,서울 성동구 성덕정길 111,ChIJIZBMgpakfDUR1v4tV6xDnIU,4.0,32.0,OK
050581F0EE,서울 성동구 뚝섬로 408-7.,ChIJXxyUGeqlfDURY9Xyg4GI4Hs,5.0,8.0,OK
0507C6C859,서울특별시 성동구 금호로 148-1,,,,not_found
050A4E0A6D,서울특별시 성동구 성수일로10길 26,ChIJ_____5ykfDURTFu7mxoVtEI,4.0,918.0,OK
051EE5224E,서울 성동구 마조로3가길 27,ChIJsWF2WaekfDURsca3tExTDPg,4.3,656.0,OK
052D57B40B,서울 성동구 행당로6길 2.,ChIJMVEOp5ykfDUR8oCQZgPScKM,4.8,5.0,OK
052FDFE33E,서울특별시 성동구 고산자로14길 26,ChIJWc0HxvSlfDURqidOY-EUI9w,4.7,14.0,OK
05354D332D,서울 성동구 마장로 220-5,ChIJ-7WFk-KkfDUR7PtdCJPo_cI,5.0,1.0,OK
053AF8AE28,서울특별시 성동구 왕십리로21다길 39,ChIJd6CRWtmlfDURuLrYFt5gOV0,4.8,545.0,OK
055544325C,서울특별시 성동구 금호로 67,ChIJG3Yh8VmjfDURcuBFMaAfNEU,3.8,22.0,OK
055A2785B9,서울특별시 성동구 한림말5길 11,ChIJOT_CZaCjfDURzPMTikygx7g,,,OK
055EDDDD01,서울 성동구 광나루로 240-20.,ChIJJ2Sh8ialfDURQG1SIqGdyNY,,,OK
056644D0B0,서울특별시 성동구 자동차시장1길 70,ChIJhRmjesukfDURxkEoMpB1FYU,,,OK
0576F5F42A,서울특별시 성동구 무학봉15길 12,ChIJ6dsia1ujfDUR-rUQ0Z4FRpk,,,OK
05870C6994,서울 성동구 청계천로10나길 82-14,,,,not_found
05992E2BE5,서울 성동구 매봉길 13.,ChIJx_Zlrx1ZezURdZCPDLkJstM,,,OK
059A6DEC9E,서울특별시 성동구 왕십리로 410,ChIJ56q6uJCjfDURHbaa5uQjLyc,4.1,54.0,OK
05D0F780F0,서울 성동구 성수일로12길 20.,ChIJ_____5ykfDURdyYpe0oVqoY,,,OK
05D686D94E,서울특별시 성동구 무학봉26길 3,ChIJ2bSpplujfDUR4E97KjfEJZQ,,,OK
05EE42C739,서울특별시 성동구 뚝섬로1나길 5,ChIJy-WONTylfDUR6nkYbwW0prg,4.5,377.0,OK
05FEB1D6F5,서울 성동구 아차산로13길 37,ChIJtyr2vVujfDURJlzCFiSUe5I,,,OK
0616E5FFD3,서울 성동구 금호로 17.,ChIJxYojYXGjfDURftWmPlRWTEk,4.1,33.0,OK
0624A8697D,서울특별시 성동구 마장로35라길 16,ChIJJ_8vlKqkfDURO4yXEEMC7xY,,,OK
06283FED4E,서울특별시 성동구 왕십리로10길 9-9,ChIJCarJknKlfDURJplmIF8EBKw,5.0,9.0,OK
064F68DA7E,서울특별시 성동구 한림말3길 15-12,ChIJP9d486CjfDUReR64xhH1ZIE,,,OK
0667DA4B74,서울특별시 성동구 왕십리로21길 39-1,ChIJeTvoTNKjfDUR3vrD7IhyFBA,4.0,1.0,OK
066E49F118,서울특별시 성동구 고산자로 234,ChIJ9em4s_qjfDURk8KNNFnroPg,,,OK
068FABCF18,서울특별시 성동구 마장로 203-1,ChIJXZZh_q6jfDURjsact5Dmr5g,4.8,5.0,OK
06A87DAA45,서울 성동구 서울숲2길 46-9.,ChIJvbylOJykfDURmO13xpqcdws,4.2,352.0,OK
06C463E9D9,서울  성동구  마장동,ChIJpealoFWjfDUR2ACgzkn79ow,4.1,1920.0,OK
06EB542919,서울 성동구 한림말1길 15-2,ChIJGSlpY6CjfDUREeUwK89FIHA,,,OK
07048B6141,서울특별시 성동구 마장로35라길 9,ChIJfcbWvqqkfDURiHQRHbXQj5E,,,OK
072ED18558,서울특별시 성동구 왕십리로 410,ChIJfzMmYQCjfDURhQI_FFaSCK8,5.0,1.0,OK
0732DD7F6A,서울 성동구 마조로7길 5.,ChIJszD7jaekfDURrlMeZGdA3iM,4.0,149.0,OK
0773FAF52A,서울 성동구 고산자로6길 40.,,,,not_found
0780CB40AB,서울특별시 성동구 마장로 137,ChIJV4hmKZakfDUR0TABmtoL09c,4.5,2.0,OK
078E739D39,서울특별시 성동구 독서당로 295-5,ChIJp0wQzeykfDURrTHkmx5aZgo,,,OK
07C53B9164,서울 성동구 성수일로4길 25.,ChIJ-2hHkpCkfDURwOi6aglfyt0,4.0,2.0,OK
07D4C06897,서울 성동구 마장로35다길 12,ChIJ8SiPhqqkfDUR9-c9OcVBsQE,,,OK
07E06697D9,서울특별시 성동구 왕십리로24나길 14,ChIJIaDc7gyjfDURjfjwAx_UTTk,3.0,1.0,OK
07E426EE6F,서울특별시 성동구 독서당로 227,ChIJKd9IUwCjfDUReSeCkqRjq5w,,,OK
07F3A46C54,서울특별시 성동구 사근동길 12,ChIJdZiIeQClfDUR4s6LfeXAnE4,4.9,113.0,OK
0806C51324,서울특별시 성동구 왕십리로 410,ChIJkWLC0AKkfDURSaCdvvd8txM,,,OK
08108678CB,서울 성동구 마장로35길 66.,ChIJFUiotqqkfDUR6OdlyQRlZE4,,,OK
0815A0998B,서울 성동구 마조로 19-10.,ChIJbe1yaq-jfDURgwYpRtRzGnU,4.1,102.0,OK
082F14367D,서울 성동구 독서당로 375.,ChIJgQin5MyjfDURlyDcQiG4Vf8,4.2,108.0,OK
08336C3B85,서울특별시 성동구 성수일로 47,ChIJLS9Lct-lfDURnJHyNAwwBr8,4.0,74.0,OK
0840AC0A17,서울 성동구 독서당로46길 36-1,ChIJ_adOFLClfDUR5xUaXdaV31g,3.9,470.0,OK
085F6E716F,서울특별시 성동구 동일로 41,ChIJv5p6hPC7fDURIqx67gacmDA,4.4,534.0,OK
0866C50DAD,서울 성동구 마장로39가길 23,ChIJ33mwM6qkfDURzck2_h5yvyM,,,OK
086AA2377D,서울특별시 성동구 독서당로40길 39,ChIJfZg6BSujfDURMY4JrF1gan0,4.4,272.0,OK
08810E1846,서울특별시 성동구 금호로 105,ChIJY-sZLKqjfDURYfHqr5WwbXA,4.3,55.0,OK
088BBA709D,서울특별시 성동구 동일로 173,ChIJMRLoVcGkfDURYkAwd0iU6Cc,,,OK
08A6BC229A,서울 성동구 성덕정길 99.,ChIJgxofQwClfDURTTCjIeHGUK4,4.7,3.0,OK
08A8D396B4,서울특별시 성동구 성수일로 9,ChIJO6bkHzqlfDUR5huRaAYRcd0,4.5,4.0,OK
08AFA3AAA2,서울 성동구 무학로2길 43,ChIJdTToJlqjfDURRwmUS4lh-Mw,,,OK
08BFC4265D,서울특별시 성동구 아차산로17길 49,ChIJbZ5gJhmjfDURmuos5RzWqZ8,4.5,644.0,OK
08D893CAA8,서울특별시 성동구 독서당로57길 48,ChIJnY8ucB2jfDURn0MLwTJYukg,4.4,9.0,OK
0904E1A37E,서울특별시 성동구 행당로 75,ChIJTQG1rm6jfDUR1WJTPKf89jA,5.0,1.0,OK
090DD25F79,서울특별시 성동구 용답중앙길 76,ChIJ2bnoGCalfDURKa-aqCshLrE,4.2,61.0,OK
091DB36DAA,서울특별시 성동구 왕십리로24나길 10,ChIJe_-HDVyjfDUR94SUjDCSwLk,4.4,834.0,OK
092717B584,서울특별시 성동구 왕십리로4길 26,ChIJAQAAAJmkfDUR0fAbHXKrSVE,4.0,22.0,OK
093D848452,서울특별시 성동구 한림말3길 15-16,ChIJ83VK8qCjfDURscqxPYm7BAc,4.3,233.0,OK
09544ED347,서울특별시 성동구 성덕정9길 9,ChIJL-O1a4WkfDURF7fLCt7QpKo,,,OK
095A791091,서울특별시 성동구 성수이로 51,ChIJLS9Lct-lfDURnJHyNAwwBr8,4.0,74.0,OK
0961D33241,서울특별시 성동구 무학로8길 28-1,ChIJsY64vp2kfDURc8pIp6cFoig,4.2,583.0,OK
097459D735,서울특별시 성동구 왕십리로28길 8,ChIJn_Wr9FqjfDURVHCBuCcilqQ,4.9,11.0,OK
09801BCCB5,서울특별시 성동구 성덕정길 141,ChIJJZQWeY2kfDUR3QMPi1mkvJo,,,OK
09805F8B6F,서울특별시 성동구 왕십리로 340,ChIJX94WgLGjfDURfxR_gIpntAo,4.7,3.0,OK
098A971F35,서울 성동구 뚝섬로 408-7,ChIJURaW_JGkfDURXy19e031HWo,,,OK
098BA50B44,서울특별시 성동구 서울숲2길 14-8,ChIJQTOpjsylfDURLCs3YxoNV7Y,4.9,132.0,OK
098CE4D65F,서울특별시 성동구 무수막길 84,ChIJr8gaXVmjfDUR-PeNgJ8VPwc,4.7,9.0,OK
099CBF2425,서울특별시 성동구 무학봉15길 26-1,ChIJjcA3TlGjfDURVnZBp_unf1Q,4.4,5.0,OK
099CE5DB1F,서울특별시 성동구 마조로3길 10,ChIJOadesXGlfDURly0JIye1UfE,4.2,75.0,OK
09A3BB12CC,서울특별시 성동구 성수일로8길 42,ChIJQ_bqINSlfDURlMVvyQn2DQQ,3.9,590.0,OK
09A5C8DB83,서울특별시 성동구 성수일로11길 15,ChIJBRvQNAClfDUReFafMfgKMSQ,5.0,21.0,OK
09B5A19D91,서울특별시 성동구 독서당로 285,ChIJ2XM5SHKjfDURtZaJrSiqQmM,3.8,904.0,OK
09D2771DD5,서울특별시 성동구 청계천로10나길 56,ChIJrQmpZ1SjfDUR48HkFvv3IjE,,,OK
09F834CF4D,서울특별시 성동구 무학봉15길 6,ChIJQ-TgaFujfDURxJz7lvrsHTQ,4.8,5.0,OK
0A043079E8,서울특별시 성동구 왕십리로 222,ChIJ9aeF1aakfDUR_-MmGJqr0us,4.6,26.0,OK
0A11294210,서울특별시 성동구 뚝섬로 385-40,ChIJDZEnNdGlfDURdhOXa749NBw,4.0,42.0,OK
0A14F6BC71,서울특별시 성동구 마장로35길 36,,,,not_found
0A1F11604A,서울특별시 성동구 왕십리로10길 20-1,ChIJYYl8Z5mkfDURhImPzr_q6jc,4.8,14.0,OK
0A21C8B332,서울특별시 성동구 마조로3가길 3,ChIJgdf7cFijfDURoNBvymxYf20,4.1,53.0,OK
0A249AE8F1,서울특별시 성동구 무학봉26길 12,ChIJc4TjFPyjfDURd9D8E6gH40I,3.6,7.0,OK
0A4491652C,서울특별시 성동구 서울숲2길 13,ChIJM3ORuAujfDURVDrRLVPE3EE,4.8,525.0,OK
0A6388B8A5,서울 성동구 광나루로2길 34-17.,ChIJWcG8-zClfDUR4c8DhHbITqg,4.9,113.0,OK
0A969D0884,서울특별시 성동구 금호로 48-1,ChIJ01zOHACjfDURF-j0YBRZPRU,5.0,2.0,OK
0AA044D334,서울특별시 성동구 한림말3길 21,ChIJlapNgU6lfDURUpn9HcKjanQ,,,OK
0AAC5CC72A,서울 성동구 행당로 127-1.,ChIJXUHHSFyjfDURXuFppcyh5s0,3.9,198.0,OK
0ACB1E7718,서울특별시 성동구 동일로 143,ChIJ42qtvcGkfDURRB5lewA5GUI,4.3,11.0,OK
0ACB344C1B,서울특별시 성동구 왕십리로 108,ChIJxfiUq0ijfDURdkjKVG-MjcY,3.3,18.0,OK
0AD65F48B1,서울 성동구 고산자로8길 22.,ChIJhTOHLgCjfDUR7nWq0xHpt2I,4.3,8.0,OK
0AD9FBF8D6,서울특별시 성동구 무수막길 31,ChIJYT_pDm6jfDURV9-nj5Be5_c,5.0,6.0,OK
0AE494A908,서울 성동구 매봉길 16-32,ChIJn6zC5mSlfDURtHuCGmnqUcs,4.3,1113.0,OK
0AF7BD60A5,서울특별시 성동구 용답19길 11,ChIJ86MqFrKkfDURiBxmwdmIlXE,5.0,1.0,OK
0AFA56720B,서울 성동구 자동차시장1길 34,ChIJiYe8esukfDUR0C05PM-Rk5E,3.6,67.0,OK
0B01EED5DC,서울특별시 성동구 마장로31길 5,ChIJK6ZkVVqjfDUR_Mp3vFUdMx8,4.7,3.0,OK
0B08F64E3F,서울특별시 성동구 연무장길 60,ChIJ_____5ykfDURTFu7mxoVtEI,4.0,918.0,OK
0B0F5967E0,서울 성동구 상원10길 4-1.,ChIJNfKqvpWkfDURHukZNIMPlYY,3.7,297.0,OK
0B209E8E8B,서울특별시 성동구 광나루로11길 54,ChIJG5j-_5ukfDURw4TPvEKfIPY,4.5,472.0,OK
0B20C4C788,서울 성동구 아차산로 93,ChIJZ2e9CAClfDURfT-4ukySeBs,5.0,25.0,OK
0B2BB3D26D,서울 성동구 마장로 309 .,ChIJncGIuKukfDURGbOMG5AUDe4,,,OK
0B36DDFB1B,서울특별시 성동구 무학봉28길 4-1,ChIJnw8wz8KkfDURRTgz-kDd8lQ,4.2,659.0,OK
0B4FFAC06D,서울  성동구  장터5길  1,ChIJe02v7w6jfDURS4HHx9WTk14,4.4,72.0,OK
0B575BF47C,서울특별시 성동구 광나루로11길 50,ChIJ8aC_e6ekfDUR0qmxWu3ttBA,,,OK
0B5B2332CF,서울 성동구 금호산길 67.,ChIJ2XM5SHKjfDURtZaJrSiqQmM,3.8,904.0,OK
0B5E2CA162,서울특별시 성동구 성수이로 51,ChIJd033mA2lfDURQ2HEfkv8Gwg,3.9,14.0,OK
0B68902965,서울 성동구 마장로 137.,,,,not_found
0B6A827588,서울특별시 성동구 행당로 119-6,ChIJSYSVVFyjfDURVcVO4OobrHU,,,OK
0B91BA490B,서울특별시 성동구 성수이로 30-4,ChIJb8Y9uw2lfDURP5L5DW3KRTo,4.7,9.0,OK
0BAEC93CDE,서울 성동구 왕십리로21길 11.,ChIJ572jlVujfDURqJDlC-3WyAc,4.6,272.0,OK
0BD65CD437,서울 성동구 마조로 15-6.,ChIJYT7zLJikfDURza1H2JMSc6c,5.0,10.0,OK
0BD77C00B4,서울특별시 성동구 아차산로7길 36,ChIJn_XSjjujfDURkeaavYrXdPM,,,OK
0BE7C060B5,서울특별시 성동구 아차산로7길 20,ChIJscppWpakfDUReDe90u9D0HE,4.0,1012.0,OK
0BE8ACB0EC,서울특별시 성동구 난계로 81,ChIJoXN6rfyjfDURTrAX_PNpWWA,4.5,1303.0,OK
0BEDDE7AF8,서울특별시 성동구 마장로 216,ChIJRR3zxFCjfDURX8mmcHDt89U,,,OK
0BF9751673,서울특별시 성동구 사근동길 23,ChIJK0H5bgClfDURDauh-MhrXA0,4.5,16.0,OK
0BFA50A379,서울특별시 성동구 왕십리로10길 8,ChIJ_QcUXgClfDURTyXwTmxo8-A,4.9,1910.0,OK
0C02E54954,서울특별시 성동구 마장로 299,ChIJa2HnBaulfDURKeVIuiDtL1Y,4.3,26.0,OK
0C074FD60A,서울특별시 성동구 뚝섬로7길 6,ChIJJZVDO1-lfDURt-7_v85sWug,4.7,27.0,OK
0C1B547B6E,서울특별시 성동구 성수이로 127,ChIJIX3RjJWkfDURfvJeW7iVmcA,4.0,114.0,OK
0C25C3B746,서울특별시 성동구 아차산로 113,ChIJ7Tl3dQClfDURlwHoF-CZzXk,4.9,59.0,OK
0C290BC270,서울특별시 성동구 왕십리로4길 19-1,ChIJ_____5ykfDURTFu7mxoVtEI,4.0,918.0,OK
0C52600659,서울특별시 성동구 금호산2길 25-1,ChIJVSTBMAyjfDURxJVBK1gFtRA,3.8,23.0,OK
0C579C8DE3,서울특별시 성동구 아차산로7길 28,ChIJyYD46kylfDURBnDKEQR0rXA,4.7,6.0,OK
0C5EE2823A,서울 성동구 장터1가길 51,ChIJH6HmJHOjfDUR_EsyHA8G0-w,,,OK
0C67B8EDCF,서울특별시 성동구 마조로3길 9,ChIJFzUvfhWjfDURyuGzL5O4E5k,4.5,135.0,OK
0C71B9E39A,서울 성동구 왕십리로14길 8.,ChIJH-iCnWilfDURpKlWq_GJTXk,4.5,23.0,OK
0C73E5FAC6,서울특별시 성동구 무학봉길 43,ChIJlVwNGkOjfDURYcwk3Ntw-w8,,,OK
0C8815C811,서울 성동구 살곶이길 18 .,ChIJA0FXNVW7fDUR-jCN7hloy7A,4.6,20.0,OK
0C8BE8ECAD,서울특별시 성동구 아차산로 153,ChIJe6qTHQClfDURYFdrWwLKu2I,5.0,28.0,OK
0C9C887E27,서울특별시 성동구 아차산로 144,ChIJAx8tgpClfDURvEaGXbz_WVs,4.3,52.0,OK
0CB94CB82A,서울특별시 성동구 아차산로17길 48,ChIJ_bAcOHGlfDURWGYVlInzIdQ,4.0,57.0,OK
0CC58A24DF,서울특별시 성동구 뚝섬로 400,ChIJK_b0UX2jfDURmkYPvmWYm90,4.6,10472.0,OK
0CCC996EB3,서울특별시 성동구 독서당로 223,ChIJKRYY85CkfDURJD_RsPVRNDI,4.5,48.0,OK
0CD2370AA8,서울특별시 성동구 성수이로 23,ChIJV4hmKZakfDUR0TABmtoL09c,4.5,2.0,OK
0CF1A5859F,서울특별시 성동구 왕십리로30길 12,ChIJmceHnlqjfDURSAOjYzwYrME,,,OK
0CF7026A60,서울특별시 성동구 아차산로 92,ChIJ793YvSmlfDUR4-eCET4lHeI,4.5,129.0,OK
0D2FB82EB4,서울특별시 성동구 용답중앙15길 17,ChIJZwQkHT-lfDUR0URzAZFtwqU,4.5,28.0,OK
0D30BE35C0,서울 성동구 장터길 37,ChIJd5mhp7C6fDUR5VfmFvwRV7o,4.4,227.0,OK
0D5913A247,서울 성동구 살곶이길 18.,ChIJg6vvvaOkfDURHhnp4Gqmv3k,4.3,530.0,OK
0D76004886,서울 성동구 무수막길 90.,ChIJ35-D5myjfDURzEmdTc9qNsg,,,OK
0D87E5D527,서울 성동구 성수이로 118.,ChIJW2ZfkQqlfDUR4vz9Xs0Q66s,4.4,49847.0,OK
0D98347CAA,서울특별시 성동구 독서당로 222,ChIJG5j-_5ukfDURw4TPvEKfIPY,4.5,472.0,OK
0DA8A07267,서울특별시 성동구 성덕정길 79,ChIJGwYquY-kfDURZ2KfzoHfNFg,,,OK
0DABCC3BB8,서울  성동구  장터길  22-1,ChIJ98awtQyjfDURSL3TACRn4Lw,4.3,3.0,OK
